Wall time,Step,Value
1698985661.4721353,49,-15.178180694580078
1698985669.9048376,99,-19.10087776184082
1698985678.7844198,149,-21.96225929260254
1698985687.5369182,199,-23.39537811279297
1698985696.433522,249,-23.696430206298828
1698985705.2846835,299,-24.48134422302246
1698985714.028495,349,-25.09933090209961
1698985723.0068192,399,-25.221168518066406
1698985731.910367,449,-25.002601623535156
1698985740.600478,499,-25.110610961914062
1698985749.3447132,549,-25.509387969970703
1698985758.0558186,599,-25.707571029663086
1698985766.7950675,649,-25.817794799804688
1698985775.5355508,699,-25.978248596191406
1698985784.8848937,749,-25.960704803466797
1698985793.6577613,799,-25.884571075439453
1698985802.4484854,849,-26.14424705505371
1698985811.1697736,899,-26.218597412109375
1698985820.0226455,949,-26.348865509033203
1698985828.7194734,999,-26.465360641479492
1698985837.3356152,1049,-26.56708526611328
1698985845.8596327,1099,-26.084775924682617
1698985854.9657423,1149,-26.382022857666016
1698985863.6908505,1199,-26.268253326416016
1698985872.5272064,1249,-26.597354888916016
1698985881.1218326,1299,-26.72010612487793
1698985889.7135162,1349,-26.607891082763672
1698985898.4283469,1399,-26.906696319580078
1698985907.3596063,1449,-26.95838165283203
1698985916.26434,1499,-26.7080078125
1698985924.9473932,1549,-26.883197784423828
1698985933.6587179,1599,-26.63201332092285
1698985942.2448025,1649,-26.941463470458984
1698985950.8677468,1699,-26.8218994140625
1698985959.6417193,1749,-26.972660064697266
1698985968.3249567,1799,-27.017805099487305
1698985977.269235,1849,-27.016630172729492
1698985985.8814323,1899,-27.13357162475586
1698985994.5290568,1949,-26.927461624145508
1698986003.1909428,1999,-26.90792465209961
1698986011.93603,2049,-27.15614128112793
1698986020.6709862,2099,-27.093971252441406
1698986029.3411343,2149,-27.261600494384766
1698986037.8746321,2199,-26.98871421813965
1698986046.996399,2249,-27.268335342407227
1698986055.4853826,2299,-27.390783309936523
1698986064.268491,2349,-27.381837844848633
1698986072.959792,2399,-27.06310272216797
1698986081.7388985,2449,-27.456539154052734
1698986090.4353135,2499,-27.418373107910156
1698986099.0507607,2549,-27.033401489257812
1698986107.924782,2599,-27.37917709350586
1698986116.565037,2649,-27.232723236083984
1698986125.251721,2699,-27.439647674560547
1698986133.8983145,2749,-27.69971466064453
1698986142.6666474,2799,-27.248023986816406
1698986151.7538652,2849,-27.575119018554688
1698986160.4766695,2899,-27.33016586303711
1698986169.5471394,2949,-27.334070205688477
1698986178.2119749,2999,-27.59032440185547
1698986186.8668263,3049,-27.755599975585938
1698986195.6017842,3099,-27.639495849609375
1698986204.4411695,3149,-27.552539825439453
1698986213.3629787,3199,-27.626171112060547
1698986222.134465,3249,-27.773839950561523
1698986230.8522804,3299,-28.023181915283203
1698986240.0401835,3349,-27.371944427490234
1698986248.7432988,3399,-27.673795700073242
1698986257.6144052,3449,-27.592411041259766
1698986266.7009404,3499,-27.729082107543945
1698986275.527168,3549,-27.251373291015625
1698986284.276168,3599,-27.7469482421875
1698986293.004663,3649,-27.652902603149414
1698986302.1182537,3699,-27.516658782958984
1698986310.9194527,3749,-27.56150245666504
1698986319.5730422,3799,-27.87771987915039
1698986328.132975,3849,-27.863784790039062
1698986336.7387958,3899,-27.79773712158203
1698986345.4355671,3949,-27.86785888671875
1698986354.0324814,3999,-27.875747680664062
1698986363.0200539,4049,-27.922523498535156
1698986371.5652113,4099,-27.979503631591797
1698986380.159302,4149,-27.881282806396484
1698986388.7360163,4199,-27.844287872314453
1698986397.373347,4249,-28.12423324584961
1698986406.0464659,4299,-28.12303924560547
1698986414.7995265,4349,-28.027912139892578
1698986423.4861188,4399,-27.66606330871582
1698986432.6552997,4449,-28.191741943359375
1698986441.2793944,4499,-27.768539428710938
1698986450.1256013,4549,-28.066791534423828
1698986458.8386588,4599,-28.177200317382812
1698986467.7016363,4649,-27.843427658081055
1698986476.6686115,4699,-28.10873794555664
1698986485.4410484,4749,-28.21532440185547
1698986494.743064,4799,-27.976350784301758
1698986503.6867044,4849,-28.057376861572266
1698986512.6965604,4899,-28.050992965698242
1698986521.5309641,4949,-27.956565856933594
1698986530.2352197,4999,-28.313304901123047
1698986539.1882498,5049,-28.311460494995117
1698986548.0003574,5099,-28.188922882080078
1698986557.0895016,5149,-28.047086715698242
1698986565.785401,5199,-28.133115768432617
1698986574.4864807,5249,-28.104995727539062
1698986583.2844498,5299,-28.335987091064453
1698986591.988939,5349,-27.807292938232422
1698986600.7443836,5399,-28.262325286865234
1698986609.4768345,5449,-28.17709732055664
1698986618.1010594,5499,-28.289480209350586
1698986627.1058483,5549,-28.080549240112305
1698986635.7868571,5599,-28.434133529663086
1698986644.4837806,5649,-28.380348205566406
1698986653.1198719,5699,-27.875221252441406
1698986661.7660947,5749,-28.474536895751953
1698986670.4820304,5799,-28.440683364868164
