Wall time,Step,Value
1699056851.1664107,49,-10.08456039428711
1699056860.1503634,99,-10.22469425201416
1699056868.9926715,149,-10.402034759521484
1699056877.933058,199,-10.605801582336426
1699056886.7216444,249,-10.789596557617188
1699056895.666512,299,-10.923491477966309
1699056904.6301644,349,-11.108844757080078
1699056913.9829233,399,-11.17377758026123
1699056922.7842717,449,-11.481513977050781
1699056931.8277867,499,-11.771800994873047
1699056940.5242648,549,-12.029668807983398
1699056949.4353294,599,-12.325435638427734
1699056958.8532772,649,-12.667702674865723
1699056968.041722,699,-12.972210884094238
1699056978.1297433,749,-13.267803192138672
1699056987.3109622,799,-13.435196876525879
1699056996.4098914,849,-13.5941801071167
1699057005.435027,899,-13.639810562133789
1699057014.46375,949,-13.733610153198242
1699057023.4756691,999,-13.788365364074707
1699057032.510134,1049,-13.795024871826172
1699057041.4701605,1099,-14.060344696044922
1699057050.859959,1149,-14.201652526855469
1699057059.7272618,1199,-14.156551361083984
1699057068.821895,1249,-14.200533866882324
1699057077.9429686,1299,-14.40585994720459
1699057086.9562027,1349,-14.50914478302002
1699057096.0178916,1399,-14.557950973510742
1699057105.063459,1449,-14.613423347473145
1699057114.3594427,1499,-14.833321571350098
1699057123.4613478,1549,-14.916316032409668
1699057132.6211386,1599,-14.900235176086426
1699057141.7056494,1649,-14.918204307556152
1699057150.5860975,1699,-15.104032516479492
1699057159.6657307,1749,-15.14933967590332
1699057168.6898956,1799,-15.279769897460938
1699057178.0040307,1849,-15.361212730407715
1699057186.8874729,1899,-15.290348052978516
1699057195.8836377,1949,-15.504032135009766
1699057204.8356242,1999,-15.769622802734375
1699057213.8351061,2049,-15.774351119995117
1699057222.717533,2099,-15.71585750579834
1699057231.3751116,2149,-15.934290885925293
1699057240.0374742,2199,-15.960087776184082
1699057249.122546,2249,-15.970827102661133
1699057257.7909174,2299,-16.20523452758789
1699057266.5574172,2349,-16.235309600830078
1699057275.1746275,2399,-16.433130264282227
1699057283.8042173,2449,-16.435611724853516
