Wall time,Step,Value
1700516455.5845017,49,-19.620616912841797
1700516466.1274579,99,-21.686975479125977
1700516475.969699,149,-22.352672576904297
1700516486.3330224,199,-23.238018035888672
1700516496.868317,249,-23.65727996826172
1700516506.675391,299,-23.745508193969727
1700516517.6090894,349,-23.70661735534668
1700516527.257853,399,-24.678470611572266
1700516536.1531699,449,-24.705678939819336
1700516545.5900946,499,-24.8902530670166
1700516554.4647987,549,-24.895950317382812
1700516564.5281703,599,-25.009490966796875
1700516573.9173603,649,-25.55253791809082
1700516582.807109,699,-25.58936309814453
1700516592.6772895,749,-25.469005584716797
1700516602.206762,799,-25.987953186035156
1700516611.348468,849,-25.644622802734375
1700516620.6985717,899,-26.021766662597656
1700516629.9411757,949,-25.996997833251953
1700516639.4149082,999,-26.23335075378418
1700516649.155517,1049,-26.574899673461914
1700516657.8484533,1099,-26.097505569458008
1700516667.356732,1149,-26.671916961669922
1700516676.3797648,1199,-25.913528442382812
1700516685.0851986,1249,-26.631261825561523
1700516694.5523076,1299,-26.86595916748047
1700516703.8370986,1349,-27.41558837890625
1700516712.6111195,1399,-26.65850830078125
1700516721.923594,1449,-26.99183464050293
1700516730.5394754,1499,-26.95471954345703
1700516739.760239,1549,-27.253549575805664
1700516748.9675107,1599,-27.408430099487305
1700516757.7687044,1649,-26.970375061035156
1700516766.9682026,1699,-27.1892147064209
1700516776.133423,1749,-27.561782836914062
1700516784.9821615,1799,-27.118398666381836
1700516794.08553,1849,-27.36989974975586
1700516802.609056,1899,-27.12706756591797
1700516811.4866471,1949,-27.251129150390625
1700516820.6641393,1999,-27.737714767456055
1700516828.9987175,2049,-27.583086013793945
1700516838.0602539,2099,-27.409317016601562
1700516846.9356055,2149,-28.077255249023438
1700516855.4680436,2199,-27.640296936035156
1700516864.4916272,2249,-27.785303115844727
1700516873.477075,2299,-27.879539489746094
1700516881.9493477,2349,-27.539180755615234
1700516891.1157491,2399,-27.939321517944336
1700516899.527982,2449,-27.612497329711914
1700516908.5583663,2499,-27.720027923583984
1700516917.5671763,2549,-27.78520965576172
1700516926.029665,2599,-28.096607208251953
1700516935.049443,2649,-28.154788970947266
1700516943.8994904,2699,-28.364850997924805
1700516952.513648,2749,-27.961360931396484
1700516961.5430238,2799,-28.22359848022461
1700516970.0352254,2849,-27.509727478027344
1700516978.9682007,2899,-28.091611862182617
1700516988.15254,2949,-28.424589157104492
1700516996.6068861,2999,-28.087600708007812
1700517005.6065676,3049,-28.271408081054688
1700517014.5203953,3099,-28.00497817993164
1700517023.0789719,3149,-28.234663009643555
1700517032.1701436,3199,-28.349384307861328
1700517041.1860979,3249,-28.78380584716797
1700517049.637714,3299,-28.380020141601562
1700517058.709279,3349,-28.445152282714844
1700517067.0311353,3399,-28.501527786254883
1700517076.058762,3449,-28.47179412841797
1700517084.9683542,3499,-28.212671279907227
1700517093.3538084,3549,-28.503326416015625
1700517102.3231506,3599,-28.701570510864258
1700517111.225407,3649,-28.630447387695312
1700517119.6833322,3699,-28.621299743652344
1700517128.64296,3749,-28.86056137084961
1700517137.0861392,3799,-28.442686080932617
1700517145.9570038,3849,-28.76153564453125
1700517155.006732,3899,-28.59689712524414
1700517163.499825,3949,-28.106037139892578
1700517172.4965253,3999,-28.797821044921875
1700517181.440159,4049,-29.21137046813965
1700517189.8578923,4099,-28.853740692138672
1700517198.8835795,4149,-28.891143798828125
1700517207.7523985,4199,-28.38224220275879
1700517216.3451657,4249,-28.400230407714844
1700517225.1929116,4299,-29.059656143188477
1700517233.5451086,4349,-28.625274658203125
1700517242.5613797,4399,-29.06814193725586
1700517251.4462285,4449,-28.103628158569336
1700517259.8216987,4499,-28.44766616821289
1700517268.7575505,4549,-28.466781616210938
1700517277.7829015,4599,-29.227935791015625
1700517286.3144732,4649,-28.38918685913086
1700517295.2655404,4699,-28.771440505981445
1700517303.5959997,4749,-28.973920822143555
1700517312.3999834,4799,-28.892486572265625
1700517321.2561123,4849,-29.195755004882812
1700517329.7129066,4899,-28.71748161315918
1700517338.6397681,4949,-28.760848999023438
1700517347.671602,4999,-29.36322021484375
1700517356.0115917,5049,-28.99612808227539
1700517364.8895555,5099,-29.04674530029297
1700517373.796455,5149,-29.530872344970703
1700517382.259744,5199,-28.648460388183594
1700517391.340292,5249,-29.131757736206055
1700517399.5915816,5299,-29.125499725341797
1700517408.5452635,5349,-29.110225677490234
1700517417.5636938,5399,-29.30862808227539
1700517426.0644078,5449,-28.553485870361328
1700517434.9774652,5499,-29.13109016418457
1700517443.9563615,5549,-28.88495445251465
1700517452.3054326,5599,-29.271770477294922
1700517461.2915251,5649,-29.2020206451416
1700517469.7399397,5699,-28.882564544677734
