Wall time,Step,Value
1700457520.453381,299,-19.42505645751953
1700457789.8534734,799,-21.87966537475586
1700457829.4066765,949,-22.48483657836914
1700457909.4372861,1249,-22.52783966064453
1700458071.5476654,1849,-23.942033767700195
1700458125.9708033,2049,-24.947364807128906
1700458152.8791173,2149,-24.615995407104492
1700458180.1458628,2249,-25.06490707397461
1700458193.4693522,2299,-24.214366912841797
1700458220.2489371,2399,-25.14664077758789
1700458309.0206504,2699,-24.78658676147461
1700458325.0471122,2749,-25.828153610229492
1700458341.9487343,2799,-25.966081619262695
1700458358.412777,2849,-24.196672439575195
1700458503.5638666,3299,-25.368146896362305
1700458591.293567,3599,-26.801111221313477
1700458607.3192031,3649,-25.62961196899414
1700458623.2505112,3699,-25.727689743041992
1700458640.0789413,3749,-25.59950828552246
1700459074.9244936,3999,-25.821306228637695
1700459207.1731172,4399,-26.442232131958008
1700459320.6310663,4749,-24.831932067871094
1700459438.5535657,5149,-26.64360809326172
1700459482.8344104,5299,-26.872961044311523
1700459497.5273879,5349,-26.733970642089844
1700459601.0290153,5699,-26.462108612060547
1700459674.8952289,5949,-25.825939178466797
1700459799.5377789,6349,-26.847684860229492
1700459855.5146456,6499,-27.264995574951172
1700459872.1539526,6549,-27.390708923339844
1700460011.7086458,6999,-27.188201904296875
1700460040.785413,7099,-27.383270263671875
1700460055.5208082,7149,-27.647724151611328
1700460070.0256028,7199,-27.507511138916016
1700460166.7916398,7549,-27.782184600830078
1700460234.7429426,7799,-28.43700408935547
1700460561.1648095,7899,-28.018081665039062
1700460574.8084657,7949,-28.068283081054688
1700460633.487949,8149,-27.914934158325195
1700460707.023786,8399,-27.656749725341797
1700460721.5396628,8449,-27.52647590637207
1700460765.0206406,8599,-28.196800231933594
1700460855.8887088,8899,-28.699195861816406
1700460871.393639,8949,-27.090682983398438
1700460902.213292,9049,-28.101329803466797
1700460947.9702566,9199,-28.794292449951172
1700460979.3243132,9299,-27.532955169677734
1700460994.3177948,9349,-27.477127075195312
1700461025.7500908,9449,-27.79880142211914
1700461055.7274795,9549,-27.661306381225586
1700461070.163148,9599,-27.333147048950195
1700461170.9429479,9949,-27.99832534790039
1700461289.3947031,10349,-28.980525970458984
1700461304.4669569,10399,-28.674999237060547
1700461319.3447082,10449,-27.424955368041992
1700461377.722318,10649,-28.472686767578125
1700461543.7705386,11199,-27.388233184814453
1700461633.0068777,11499,-28.612077713012695
1700461680.6441197,11649,-29.08496856689453
1700462041.768624,11749,-28.702640533447266
1700462085.2196944,11899,-28.030424118041992
1700462258.3573604,12499,-26.544429779052734
1700462344.7682216,12799,-28.79153823852539
1700462387.9558256,12949,-29.684743881225586
1700462416.7073078,13049,-27.578441619873047
1700462431.0503328,13099,-29.117103576660156
1700462459.9752865,13199,-28.809778213500977
1700462517.4859338,13399,-28.751441955566406
1700462575.1855562,13599,-28.08384132385254
1700462603.9464984,13699,-29.23095703125
1700462675.986928,13949,-28.766101837158203
1700462879.948943,14649,-30.074251174926758
1700462953.5522354,14899,-28.54438018798828
1700462967.895311,14949,-28.489017486572266
1700463025.318897,15149,-29.18588638305664
1700463039.6353724,15199,-29.6446533203125
1700463097.1965578,15399,-30.153221130371094
1700463111.581438,15449,-29.0642147064209
1700463140.3082485,15549,-29.163677215576172
1700463499.5766702,15699,-29.941242218017578
1700463572.0487866,15949,-29.23933982849121
1700463586.382845,15999,-29.788692474365234
1700463681.942848,16299,-29.832942962646484
1700463698.0939324,16349,-29.81389617919922
1700463715.0687194,16399,-28.429109573364258
1700463764.223434,16549,-29.13974380493164
1700463904.4793162,16999,-28.51224136352539
1700464037.5106013,17399,-29.59831428527832
1700464236.5852888,18049,-29.79109001159668
1700464279.8433642,18199,-29.17153549194336
1700464339.3117793,18399,-30.222869873046875
1700464430.5530605,18699,-27.457714080810547
1700464503.6279557,18899,-30.119815826416016
1700464521.069031,18949,-28.803630828857422
1700464538.3528278,18999,-28.96129608154297
1700464646.7324965,19349,-29.453632354736328
1700465129.487837,19599,-30.52954864501953
1700465146.708943,19649,-31.21007537841797
1700465414.393311,20449,-28.993261337280273
1700465517.951059,20799,-30.751678466796875
1700465619.8520243,21099,-30.10485076904297
1700465637.10042,21149,-28.176305770874023
1700465673.678743,21249,-30.136415481567383
1700465765.1908908,21549,-28.89501190185547
1700465902.9415395,21999,-30.20505142211914
1700465930.664383,22099,-30.043020248413086
1700465944.66573,22149,-30.634355545043945
1700465993.6754057,22299,-30.188486099243164
1700466094.309147,22599,-29.717212677001953
1700466240.507655,23049,-28.873750686645508
1700466284.046124,23199,-29.874975204467773
1700466299.5026493,23249,-30.56692886352539
1700466758.8755884,23699,-30.838336944580078
1700466774.2937684,23749,-30.528581619262695
1700466935.0870297,24299,-31.10862922668457
1700466979.7385778,24449,-30.108301162719727
1700466994.3838322,24499,-29.61531639099121
1700467023.5912297,24599,-31.040515899658203
1700467052.5872347,24699,-30.18408966064453
1700467249.0645983,25399,-30.253345489501953
1700467319.9308937,25649,-30.789527893066406
1700467346.9535897,25749,-30.537757873535156
1700467392.2244225,25899,-31.122844696044922
1700467511.819018,26299,-30.784236907958984
1700467591.707194,26599,-29.730045318603516
1700467618.049613,26699,-31.41533660888672
1700467659.2034376,26849,-30.361669540405273
1700467672.8031633,26899,-30.120084762573242
1700467714.1525679,27049,-29.683082580566406
1700467741.507628,27149,-30.988990783691406
1700468116.787165,27399,-30.673641204833984
1700468130.1113985,27449,-30.60131072998047
1700468261.9172506,27899,-30.633203506469727
