Wall time,Step,Value
1700334964.5271854,299,-19.259572982788086
1700335018.8078802,599,-20.448421478271484
1700335055.653419,799,-21.07211685180664
1700335083.5272686,949,-21.897716522216797
1700335138.2622323,1249,-22.512781143188477
1700335247.7794187,1849,-22.907291412353516
1700335391.5608225,2049,-23.146774291992188
1700335411.199907,2149,-23.504085540771484
1700335430.7382815,2249,-23.440568923950195
1700335440.5409772,2299,-23.45208168029785
1700335460.054546,2399,-24.21377944946289
1700335519.3332846,2699,-23.463199615478516
1700335529.117797,2749,-22.74441909790039
1700335539.1036508,2799,-23.686647415161133
1700335548.8869376,2849,-23.3643798828125
1700335637.8693464,3299,-24.10480308532715
1700335697.8713253,3599,-24.550607681274414
1700335707.7729397,3649,-23.5992431640625
1700335717.8316712,3699,-24.518278121948242
1700335727.7862964,3749,-23.886125564575195
1700335884.5892186,3999,-24.487754821777344
1700335963.3697715,4399,-24.670124053955078
1700336032.057457,4749,-24.64859962463379
1700336110.5555556,5149,-24.931140899658203
1700336138.2167122,5299,-24.995929718017578
1700336149.4026523,5349,-24.580629348754883
1700336249.580131,5699,-24.46566390991211
1700336623.3492873,5949,-24.704744338989258
1700336917.49647,6349,-24.74372100830078
1700336943.4594624,6499,-24.972976684570312
1700336952.1217048,6549,-25.749557495117188
1700337032.351413,6999,-25.933738708496094
1700337050.094181,7099,-25.41590118408203
1700337058.9487233,7149,-24.937938690185547
1700337067.7312922,7199,-24.03158950805664
1700337130.5655725,7549,-25.779556274414062
1700337175.460588,7799,-25.3218936920166
1700337285.5993004,7899,-24.445682525634766
1700337294.3539958,7949,-25.384729385375977
1700337329.4208622,8149,-25.29538917541504
1700337373.5179224,8399,-25.97703742980957
1700337382.4913244,8449,-24.728424072265625
1700337408.8544605,8599,-26.129674911499023
1700337461.943616,8899,-24.953901290893555
1700337470.7944894,8949,-24.693363189697266
1700337488.4923759,9049,-25.369182586669922
1700337515.0580163,9199,-25.182876586914062
1700337532.7571108,9299,-24.947233200073242
1700337541.6162202,9349,-26.11951446533203
1700337559.306918,9449,-25.504234313964844
1700337577.0297973,9549,-25.340843200683594
1700337585.942416,9599,-25.26860809326172
1700337739.2344885,9949,-25.575355529785156
1700337809.755285,10349,-25.632705688476562
1700337818.748628,10399,-24.423030853271484
1700337827.6803238,10449,-25.568424224853516
1700337863.1432025,10649,-25.753639221191406
1700337950.8512988,11149,-25.637025833129883
1700337959.8883517,11199,-25.73530387878418
1700337977.7696698,11299,-25.49927520751953
1700338012.7643988,11499,-25.045974731445312
1700338038.8527474,11649,-25.481006622314453
1700338149.0762353,11749,-25.504764556884766
1700338174.43852,11899,-25.89125633239746
1700338280.1155198,12499,-25.922664642333984
1700338332.8595502,12799,-25.813961029052734
1700338359.4193888,12949,-26.116832733154297
1700338377.1332705,13049,-26.85579490661621
1700338386.0334682,13099,-25.933082580566406
1700338403.8555832,13199,-26.034080505371094
1700338439.4315019,13399,-26.324153900146484
1700338474.9120538,13599,-26.601764678955078
1700338585.1283357,13699,-25.738849639892578
1700338627.9080873,13949,-26.42186164855957
1700338751.5417972,14649,-26.441158294677734
1700338795.5883093,14899,-26.109678268432617
1700338804.4208148,14949,-26.57590103149414
1700338839.7739563,15149,-26.614410400390625
1700338848.6587436,15199,-26.507545471191406
1700338883.6889474,15399,-26.270893096923828
1700338892.4519045,15449,-26.242958068847656
1700338910.257214,15549,-25.77947235107422
1700339028.7009509,15699,-26.91427993774414
1700339071.8835723,15949,-27.06481170654297
1700339080.6988752,15999,-26.137540817260742
1700339133.5317812,16299,-26.413965225219727
1700339142.4570017,16349,-27.217313766479492
1700339151.3389316,16399,-26.582683563232422
1700339178.021196,16549,-25.954368591308594
1700339257.2561326,16999,-26.421916961669922
1700339274.85792,17099,-26.61416244506836
1700339328.0487857,17399,-25.91397476196289
1700339532.8068664,18049,-26.74863052368164
1700339559.345337,18199,-27.171836853027344
1700339594.249678,18399,-26.547203063964844
1700339647.3244276,18699,-26.922801971435547
1700339682.7002518,18899,-26.862873077392578
1700339691.5452652,18949,-27.066226959228516
1700339700.389876,18999,-26.850099563598633
1700339762.33343,19349,-26.135160446166992
1700339897.5093937,19599,-27.54703140258789
1700339906.0239682,19649,-27.497337341308594
1700340046.0716908,20449,-27.483261108398438
1700340108.0900986,20799,-26.590368270874023
1700340161.0291169,21099,-26.710519790649414
1700340169.72693,21149,-26.259138107299805
1700340187.2237537,21249,-27.212942123413086
1700340331.6356165,21549,-27.1315975189209
1700340409.4364645,21999,-27.568050384521484
1700340426.9667487,22099,-26.48175811767578
1700340435.7067275,22149,-26.54155731201172
1700340461.9217696,22299,-26.988229751586914
1700340514.4493582,22599,-26.785409927368164
1700340593.493072,23049,-26.648752212524414
1700340619.7731283,23199,-26.607513427734375
1700340628.5313761,23249,-27.19011116027832
1700340798.053003,23699,-26.56839370727539
1700340806.775805,23749,-27.141197204589844
1700340903.301318,24299,-26.376237869262695
1700340929.6899562,24449,-27.163475036621094
1700340938.4840145,24499,-26.666419982910156
1700340956.0582933,24599,-27.275711059570312
1700340973.5085876,24699,-26.521570205688477
1700341097.5503097,25399,-26.68958282470703
1700341232.0263443,25649,-26.95643424987793
1700341249.6736014,25749,-27.96674919128418
1700341276.1274908,25899,-26.920907974243164
1700341346.8879433,26299,-27.308177947998047
1700341399.6341112,26599,-27.417823791503906
1700341417.240871,26699,-27.09682273864746
1700341443.4026332,26849,-27.859153747558594
1700341452.1367881,26899,-27.469829559326172
1700341478.316041,27049,-26.726348876953125
1700341496.0165079,27149,-27.21541404724121
1700341631.5071514,27399,-26.99448013305664
1700341639.8161702,27449,-27.12129783630371
1700341718.4600506,27899,-27.42599868774414
1700341736.212783,27999,-26.38658905029297
1700341771.7712743,28199,-27.009897232055664
1700341780.6661203,28249,-27.184925079345703
1700341824.3835032,28499,-26.614255905151367
1700341859.8973806,28699,-27.95720672607422
1700341868.761725,28749,-26.993820190429688
1700341895.291058,28899,-27.370525360107422
1700341912.979647,28999,-28.162050247192383
1700341930.6842163,29099,-27.136775970458984
1700341939.548381,29149,-27.55060386657715
1700341948.3730502,29199,-26.779001235961914
1700341957.227798,29249,-27.46750831604004
1700342066.2436173,29349,-25.84810447692871
1700342074.7251816,29399,-27.913063049316406
1700342117.9362154,29649,-27.115070343017578
1700342126.6641233,29699,-27.400665283203125
1700342187.8203278,30049,-27.203487396240234
1700342205.2893136,30149,-26.618030548095703
1700342258.1441326,30449,-27.445890426635742
1700342275.620307,30549,-27.700103759765625
1700342319.3130467,30799,-27.489391326904297
1700342363.5972257,31049,-27.760896682739258
1700342381.3390765,31149,-27.268484115600586
1700342576.6556973,31749,-27.963912963867188
1700342637.6922753,32099,-27.83185577392578
1700342646.5837488,32149,-27.42267417907715
1700342664.2659163,32249,-26.80873680114746
1700342673.1102302,32299,-27.242874145507812
1700342681.7235913,32349,-27.188547134399414
1700342690.4703574,32399,-28.030120849609375
1700342708.1592607,32499,-27.870939254760742
1700342734.5793629,32649,-28.442703247070312
1700342769.859193,32849,-27.450210571289062
1700342813.870964,33099,-28.049325942993164
1700342931.6707418,33249,-27.23322105407715
1700342965.3879294,33449,-27.43398666381836
1700342991.8784366,33599,-26.996126174926758
1700343000.7976873,33649,-27.761188507080078
1700343018.3659673,33749,-28.298818588256836
1700343027.1737168,33799,-27.171850204467773
1700343053.533155,33949,-27.89371109008789
1700343062.2680874,33999,-27.17068099975586
1700343088.4574358,34149,-27.429370880126953
1700343097.1713357,34199,-27.05083465576172
1700343140.8432379,34449,-27.27306365966797
1700343149.5736206,34499,-27.510967254638672
1700343210.7003028,34849,-27.881893157958984
1700343237.7180102,34999,-27.542701721191406
1700343364.200573,35199,-27.136306762695312
1700343389.4889615,35349,-27.653093338012695
1700343407.0529332,35449,-27.123455047607422
1700343424.662959,35549,-28.081256866455078
1700343459.7888916,35749,-26.472089767456055
1700343494.990128,35949,-27.881582260131836
1700343521.187106,36099,-27.674806594848633
1700343529.8859358,36149,-28.013580322265625
1700343538.5911226,36199,-27.909427642822266
1700343547.2369373,36249,-27.637178421020508
1700343599.8389661,36549,-27.43396759033203
1700343652.5053248,36849,-27.251989364624023
1700343669.856513,36949,-28.360095977783203
1700343678.7725396,36999,-27.09601593017578
1700343805.2585418,37199,-28.048656463623047
1700343831.266453,37349,-28.18109893798828
1700343840.0242467,37399,-27.328073501586914
1700343865.8209581,37549,-27.96723175048828
1700343874.5517144,37599,-27.374176025390625
1700343883.2358737,37649,-27.98046875
1700343900.6348546,37749,-27.899169921875
1700343918.0904963,37849,-28.285938262939453
1700343970.6571236,38149,-27.748868942260742
1700343996.9294796,38299,-28.678295135498047
1700344005.7220647,38349,-27.59526252746582
1700344032.404072,38499,-27.932449340820312
1700344041.23631,38549,-27.877750396728516
1700344050.0426157,38599,-27.77642822265625
1700344067.6448112,38699,-28.103939056396484
1700344076.4582481,38749,-27.217988967895508
1700344129.081882,39049,-27.808320999145508
1700344254.7376192,39249,-27.94154930114746
1700344263.3032508,39299,-27.893619537353516
1700344280.8152297,39399,-28.381229400634766
1700344298.2914844,39499,-28.723526000976562
1700344315.6378794,39599,-27.54990005493164
1700344324.3051171,39649,-28.11180877685547
1700344332.9633744,39699,-28.34293556213379
1700344341.629519,39749,-28.221778869628906
1700344350.3136988,39799,-28.480093002319336
1700344376.862201,39949,-28.24712562561035
1700344412.0776613,40149,-27.275177001953125
1700344438.468802,40299,-27.773935317993164
1700344455.5689182,40399,-28.32054328918457
1700344464.1552892,40449,-27.588851928710938
1700344472.8757071,40499,-28.474594116210938
1700344526.1222408,40799,-28.138792037963867
1700344534.8817847,40849,-27.36951446533203
1700344552.5251677,40949,-27.74514389038086
1700344670.1037796,41099,-27.793092727661133
1700344705.545012,41299,-27.358694076538086
1700344733.8858397,41449,-28.625450134277344
1700344761.689965,41599,-27.50426483154297
1700344771.6931677,41649,-27.968700408935547
1700344791.5662777,41749,-28.331531524658203
1700344811.8073356,41849,-27.78262710571289
1700344831.5060592,41949,-27.309085845947266
1700344879.9886723,42199,-27.405473709106445
1700344907.4586499,42349,-28.57524871826172
1700344925.7886117,42449,-27.378620147705078
1700345206.9251359,43399,-27.879878997802734
1700345225.616083,43499,-27.88091278076172
1700345234.761321,43549,-28.238224029541016
1700345272.6901782,43749,-28.049030303955078
1700345290.880542,43849,-28.004419326782227
1700345327.604959,44049,-27.750089645385742
1700345345.9991498,44149,-28.2616024017334
1700345364.430851,44249,-27.777217864990234
1700345392.0283499,44399,-27.85684585571289
1700345410.4984636,44499,-28.010026931762695
1700345419.8257892,44549,-27.64122200012207
1700345476.0385468,44849,-27.459552764892578
1700345610.812793,45049,-27.90673065185547
1700345675.0298176,45399,-27.960773468017578
1700345684.2696362,45449,-28.43124771118164
1700345693.6761487,45499,-27.686656951904297
1700345703.308348,45549,-28.310487747192383
1700345747.7447727,45799,-27.70596694946289
1700345765.7656124,45899,-27.94953155517578
1700345792.1538985,46049,-28.3539981842041
1700345801.0814319,46099,-27.874563217163086
1700345809.9716792,46149,-28.363666534423828
1700345818.865798,46199,-28.366901397705078
1700345890.0027661,46599,-28.207109451293945
1700345898.895805,46649,-27.563535690307617
1700345925.394818,46799,-28.00177001953125
1700346078.1889668,47149,-27.853662490844727
1700346104.4670153,47299,-28.558555603027344
1700346175.017493,47699,-28.23857879638672
1700346183.9624493,47749,-27.486913681030273
1700346201.5494564,47849,-27.703706741333008
1700346210.3698304,47899,-28.02532958984375
1700346219.2139606,47949,-28.357295989990234
1700346245.7121933,48099,-27.931480407714844
1700346254.5307543,48149,-27.73685646057129
1700346272.1676238,48249,-27.91269302368164
1700346289.7961373,48349,-28.85436248779297
1700346334.005787,48599,-28.362112045288086
1700346342.830994,48649,-28.22608184814453
1700346378.1421258,48849,-30.664968490600586
1700346479.4548757,48899,-27.9844970703125
1700346487.9013681,48949,-27.235858917236328
1700346496.4754739,48999,-28.201913833618164
1700346522.7731192,49149,-27.366579055786133
1700346531.517345,49199,-27.247154235839844
1700346540.1150987,49249,-27.62681007385254
1700346566.4254475,49399,-27.459484100341797
1700346575.180727,49449,-28.15903091430664
1700346645.5113513,49849,-28.054344177246094
1700346680.3370526,50049,-28.043394088745117
1700346697.9677045,50149,-28.437454223632812
1700346716.0226283,50249,-28.286911010742188
1700346724.93388,50299,-28.26327133178711
1700346751.336502,50449,-28.152660369873047
1700346786.9229794,50649,-28.263675689697266
1700346795.8609293,50699,-28.493854522705078
1700346804.7945874,50749,-28.195995330810547
1700346922.194126,50899,-27.51472282409668
1700347000.1246958,51299,-27.958831787109375
1700347019.6618721,51399,-28.1435604095459
1700347058.0195053,51599,-28.457548141479492
1700347067.2683935,51649,-28.401891708374023
1700347097.8115697,51799,-28.5650634765625
1700347117.3097534,51899,-28.432693481445312
1700347135.8075907,51999,-27.579763412475586
1700347182.1372056,52249,-28.23068618774414
1700347246.7547107,52599,-28.36296272277832
1700347381.3252513,52799,-27.743738174438477
1700347399.4366887,52899,-28.242170333862305
1700347454.4824798,53199,-28.90561294555664
1700347463.749846,53249,-28.0848388671875
1700347481.9961665,53349,-27.989681243896484
1700347500.2667599,53449,-27.903059005737305
1700347537.084586,53649,-27.686988830566406
1700347573.7573755,53849,-27.5210018157959
1700347592.0416207,53949,-28.089658737182617
1700347638.3261197,54199,-28.922082901000977
1700347647.465049,54249,-27.960851669311523
1700347656.6982484,54299,-28.82516860961914
1700347721.3330913,54649,-27.604000091552734
1700347730.58478,54699,-28.15088653564453
1700347882.7326093,54999,-28.511140823364258
1700347919.262172,55199,-28.14342498779297
1700347928.3906128,55249,-28.252330780029297
1700347937.535172,55299,-27.713260650634766
1700348019.683166,55749,-27.593935012817383
1700348038.0374806,55849,-28.168895721435547
1700348065.4198556,55999,-28.65898895263672
1700348121.1196005,56299,-27.81659698486328
1700348130.3395271,56349,-28.869129180908203
1700348292.0186813,56699,-27.563209533691406
1700348311.0584176,56799,-28.30072784423828
1700348442.025278,57499,-27.96734619140625
1700348469.3181555,57649,-28.855173110961914
1700348496.4650178,57799,-28.006511688232422
1700348505.6934102,57849,-28.996463775634766
1700348514.9602606,57899,-28.445568084716797
1700348542.5717015,58049,-28.46129608154297
1700348551.7276251,58099,-28.66570472717285
1700348560.880727,58149,-28.638229370117188
1700348821.6922665,59049,-28.305404663085938
1700348848.8782582,59199,-28.44205665588379
1700348867.1949828,59299,-28.268539428710938
1700348876.4569216,59349,-28.74974822998047
1700348931.0852551,59649,-28.42064666748047
1700348940.2035902,59699,-27.716506958007812
1700348958.5069516,59799,-28.255403518676758
1700348976.8819566,59899,-28.172636032104492
1700348995.1906264,59999,-27.934967041015625
1700349013.5661676,60099,-28.907167434692383
1700349041.0300465,60249,-28.176908493041992
1700349059.3215442,60349,-28.266883850097656
1700349077.3359013,60449,-28.129657745361328
1700349095.7199602,60549,-28.881244659423828
1700349229.4153864,60749,-28.40331268310547
1700349320.6557813,61249,-28.11632537841797
1700349357.2430987,61449,-28.163555145263672
1700349393.695723,61649,-27.81112289428711
1700349402.7952917,61699,-26.987077713012695
1700349411.9464812,61749,-27.93379020690918
1700349430.2445214,61849,-28.877349853515625
1700349457.5669637,61999,-28.5286865234375
1700349484.9711306,62149,-28.293190002441406
1700349503.1094813,62249,-28.997743606567383
1700349530.3725343,62399,-28.670970916748047
1700349682.5172217,62699,-29.179073333740234
1700349700.5793822,62799,-28.006141662597656
1700349718.810502,62899,-28.441991806030273
1700349727.9618907,62949,-27.768678665161133
1700349755.180356,63099,-28.13318634033203
1700349764.9927294,63149,-28.995677947998047
1700349774.0216694,63199,-28.63138198852539
1700349800.9247613,63349,-28.187541961669922
1700349872.3526802,63749,-28.605789184570312
1700349916.6119375,63999,-27.95041847229004
1700349934.423147,64099,-28.645811080932617
1700349988.0553348,64399,-27.91417121887207
1700350115.3492277,64599,-27.640159606933594
1700350124.0580149,64649,-28.912334442138672
1700350132.811787,64699,-27.69957733154297
